code,designation,bundesnaturschutzgesetz_30,bundesnaturschutzgesetz_21,biotopverordnung,ffh_lebensraumtypen,biotoptypen_code
KDe,Braundüne mit Krähenbeere,6,,5.c,*2140,KD
KDc,Braundüne mit Besenheide,6,,5.c,*2150,KD
KDr,Ruderalisierte Küstendüne,6,,5.c,(21**),KD
KDn,Küstendüne mit Borstgras-Rasen,6,,5.c,*6230,KD
KDs,Komplex aus Dünen- und Salzwiesenvegetation,6,,5.c,*2130,KD
KDg,"Graudüne, naturnah",6,,5.c,*2130,KD
KDy,"Küstendüne, unspezifisch",6,,5.c,(21**),KD
KH,Küstendünengehölze,,,,,
KHh,Küstendüne mit Sanddorngebüsch,6,,5.c,2160,KD
KHs,Küstendüne mit Kriechweidengebüsch,6,,5.c,2170,KD
KHt,Bewaldete Küstendüne mit Zitterpappel,6,,5.c,2180,KD
KHq,Bewaldete Küstendüne mit Eiche,6,,5.c,2180,KD
KHp,Bewaldete Küstendüne mit Kiefer,6,,5.c,(2180),KD
KHr,Küstendüne mit Kartoffelrose,6,,5.c,,KD
KHx,Bewaldete KüstendDüne mit mehr als 30 % gebietsfremden Arten,6,,5.c,,KD
KHg,Küstendüne mit sonstigen heimischen Gehölzen,6,,5.c,,KD
W,Wälder und Brüche,,,,,
WQ,Naturnahe Quellwälder,,,,,
WQe,Naturnaher Quellwald,4,,4.c,*91E0,WA
WA,Auwälder,,,,,
WAn,Auwald mit hohem Nadelholzanteil,,,(4.c),,WA
WAm,Auwald mit mittlerem Nadelholzanteil,4,,4.c,,WA
WAp,Auwald mit Hybridpappeln,4,,(4.c),,WA
WAx,Auwald mit sonstigen gebietsfremden Laubholzarten,4,,(4.c),,WA
WAq,Hartholz (Eichen/Eschen/Ulmen)-Auwald,4,,4.c,91F0,WA
WAw,Weichholz (Silberweiden)-Auwald,4,,4.c,*91E0,WA
WAe,Erlen-Eschen (Eichen)-Auwald,4,,4.c,*91E0,WA
WAy,Sonstiger Auwald,4,,4.c,,WA
WB,Bruchwälder und Brüche,,,,,
WBn,Bruchwald mit hohem Nadelholzanteil,,,,,WFp
WBm,Bruchwald mit mittlerem Nadelholzanteil,4,,4.a,,WFp
WBp,Bruchwald mit Hybridpappeln,4,,4.a,,WFp
WBx,Sonstiger Bruchwald mit gebietsfremden Laubbaumarten,4,,4.a,,WFp
WBz,Sonstiger Bruchwald mit Dominanz gebietsfremder Laubbaumarten,,,,,WFp
WBb,Birken-Bruchwald,4,,4.a,,WBb
WBe,Erlen-Bruchwald,4,,4.a,,WBe
WBw,Weiden-Bruchwald,4,,4.a,,WBw
WBy,Sonstiger Bruchwald,4,,4.a,,WBw
WE,Sumpfwälder,,,,,
WEn,Sumpfwald mit hohem Nadelholzanteil,,,,,WFp
WEm,Sumpfwald mit mittlerem Nadelholzanteil,4,,4.b,,WFp
WEp,Sumpfwald mit Hybridpappeln,4,,4.b,,WFp
WEx,Sonstiger Sumpfwald mit gebietsfremden Laubbaumarten,4,,4.b,,WFp
WEz,Sonstiger Sumpfwald mit Dominanz gebietsfremder Laubbaumarten,,,,,WFp
WEw,Weiden-Sumpfwald,4,,4.b,,WE
WEe,Erlen-Eschen-Sumpfwald,4,,4.b,,WE
WEy,Sonstiger Sumpfwald,4,,4.b,,WE
WT,Entwässerte Feuchtwälder,,,,,
WTn,Entwässerter Feuchtwald mit hohem Nadelholzanteil,,,,,WE (t)
WTm,Entwässerter Feuchtwald mit mittlerem Nadelholzanteil,,,,,WE (t)
WTp,Entwässerter Feuchtwald mit Hybridpappeln,,,,,WE (t)
WTx,Sonstiger entwässerter Feuchtwald mit gebietsfremden Laubholzarten,,,,,WE (t)
WTw,Entwässerter Feuchtwald mit Weiden,,,,,WBe (t)
WTb,Entwässerter Feuchtwald mit Birken,,,,,WBe (t)
WTe,Entwässerter Feuchtwald mit Erlen und Eschen,,,,,WBe (t)
WTy,Sonstiger entwässerter Feuchtwald,,,,,WE (t)
WP,Pionierwälder,,,,,
WPn,Pionierwald mit hohem Nadelholzanteil,,,,,WP
WPm,Pionierwald mit mittlerem Nadelholzanteil,,,,,WP
WPp,Pionierwald mit Hybridpappeln,,,,,WP
WPs,Pionierwald mit Später Traubenkirsche,,,,,WP
WPx,Pionierwald mit sonstigen gebietsfremden Laubgehölzen,,,,,WP
WPb,Pionierwald mit Zitter-Pappel/Hänge-Birke,,,,"(9110, 9190)",WP
WPa,Pionierwald mit Ahorn,,,,"(9130, 9180)",WP
WPe,Pionierwald mit Erlen/Eschen,,,,"(9160, *91E0)",WP
WPw,Pionierwald mit Weiden,,,,(91**),WP
WPy,Sonstiger Pionierwald,,,,(91**),WP
WM,Laubwälder auf reichen Böden,,,,,
WMc,Eichen- und Eichen-Hainbuchenwald,,,,9160,WNc
WMs,Schlucht- und Hangwald,4,,4.d,*9180,WM
WMu,Waldgersten-Buchenwald,,,,9130,WM
WMe,Eschen-Buchenwald,,,,9130,WM
WMo,Perlgras-Buchenwald,,,,9130,WM
WMm,Flattergras-Buchenwald,,,,9130,WM
WMx,Laubholzforst auf reichen Böden mit gebietsfremden Laubgehölzen,,,,,WFl
WMy,Sonstiger Laubwald auf reichen Böden,,,,"(9130, 9160)",WFl
WL,Laubwälder auf bodensauren Standorten einschließlich natürlicher Eichen-Kiefernwälder,,,,,
WLi,Buchenwald auf bodensauren Standorten mit Stechpalme,,,,9120,WLa
WLa,Drahtschmielen-Buchenwald,,,,9110,WLa
WLb,Birken-Eichenwald,,,,9190,WLb
WLq,Eichenwald und Eichen-Buchenwald auf bodensauren frischen Standorten,,,,9190,WLb
WLf,Eichenwald auf bodensauren feuchten Standorten,,,,9190,WLb
WLt,Eichenwald und Eichenkratt bodensaurer trockenwarmer Standorte,3,,3.e,9190,WLb
WLk,Traubeneichen-Kiefernwald,3,,3.e,9190,WLp
WLs,Wald- oder Forstfläche auf bodensauren Standorten mit Später Traubenkirsche,,,,,WFl
WLx,Laubholzforst auf bodensauren Standorten mit gebietsfremden Laubgehölzen,,,,,WFl
WLy,Sonstiger Laubwald auf bodensauren Standorten,,,,"(9110, 9190)",WLa
WF,Nadelholzforste und Mischwälder auf frischen Standorten,,,,,
WFn,Nadelholzforst,,,,,WFn
WFm,Mischwald,,,,,WFm
H,Gehölze außerhalb von Wäldern,,,,,
HE,Einzelgehölze und Gehölzgruppen,,,,,
HEo,Obstbaum,,,,,HGb (A)
HEw,Weidenbusch,,,,,HGb (A)
HEn,Nadelbaum,,,,,HGb (A)
HEx,Gebietsfremdes Laubgehölz,,,,,HGb (A)
HEy,Sonstiges heimisches Laubgehölz,,,,,HGb (A)
HA,Alleen,,,,,
HAo,Obstbaumallee,,3,8,,HGa (S)
HAx,Allee aus gebietsfremden Laubgehölzen,,3,8,,HGa (S)
HAy,Allee aus heimischen Laubgehölzen,,3,8,,HGa (S)
HR,Baumreihen,,,,,
HRo,Obstbaumreihe,,,,,HGr (S)
HRx,Baumreihe aus gebietsfremden Laubbäumen,,,,,HGr (S)
HRn,Baumreihe aus Nadelhölzern,,,,,HGr (S)
HRy,Baumreihe aus heimischen Laubbäumen,,,,,HGr (S)
HU,Linearer Ufergehölzsaum,,,,,
HUe,Linearer Ufergehölzsaum aus Schwarz-Erle/Esche,,,,,HGf
HUw,Linearer Ufergehölzsaum aus Weiden,,,,,HGf
HUx,Linearer Ufergehölzsaum aus gebietsfremden Gehölzarten,,,,,HGx
HUy,Sonstiger linearer Ufergehölzsaum,,,,,HGy
HW,Knicks,,,,,
HWb,Durchgewachsener Knick,,4,10,,HW (S)
HWo,Knickwall ohne Gehölze,,4,10,,HW (S)
HWw,Knicks im Wald und am Waldrand,,,,,HW (S)
HWx,Knickwall mit gebietsfremden Gehölzen,,4,10,,HW (S)
HWy,Typischer Knick,,4,10,,HW (S)
HWz,Sonstiger Knick,,,,,HW (S)
HF,Feldhecken,,,,,
HFb,Baumhecke,,4,10,,HF (S)
HFx,Feldhecke mit gebietsfremden Gehölzen,,4,10,,HF (S)
HFz,Sonstige Feldhecken,,,,,HF (S)
HFy,Typische Feldhecke,,4,10,,HF (S)
HB,Gebüsche,,,,,
HBw,Weidengebüsch außerhalb von Gewässern,,,,,WGf
HBx,Gebüsch aus gebietsfremden Arten,,,,,WGf
HBt,Trockengebüsch,3,,3.e,,WGt
HBy,Sonstiges Gebüsch,,,,,WGf
HG,Feldgehölze,,,,,
HGn,Feldgehölz mit hohem Nadelholzanteil,,,,,HGx
HGm,Feldgehölz mit mittlerem Nadelholzanteil,,,,,HGx
HGp,Feldgehölz aus Hybridpappeln,,,,,HGx
HGs,Feldgehölz aus Später Traubenkirsche,,,,,HGx
HGx,Feldgehölz aus gebietsfremden Arten,,,,,HGx
HGe,Feldgehölz aus Erlen,,,,,HGy
HGy,Sonstiges Feldgehölz,,,,,HGy
F,Binnengewässer,,,,,
FW,Süßwasserwatten und -priele,,,,,
FWp,Ehemaliger Priel,1,,1.a,"(3150, 3260)",FFw
FWo,"Süßwasserwatt, vegetationslos",1,,1.a,,FFw
FWs,Süßwasserwatt mit Schilfröhricht,1,,1.a,,FFw
FWg,Süßwasserwatt mit Wasserschwadenröhricht,1,,1.a,,FFw
FWb,Süßwasserwatt mit Simsenröhricht,1,,1.a,,FFw
FWy,Sonstiges Süßwasserwatt,1,,1.a,,FFw
FF,Flüsse einschließlich Altarme,,,,,
FFa,Fluss-Altarm,1,,1.b bzw. 7,(3150),FFa
FFf,"Fluss, naturnah mit flutender Vegetation",1,,1.a,3260,FFn
FFs,"Fluss, naturnah, mit Sand- und/oder Schlammbänken",1,,1.a,3270,FFn
FFg,Ausgebauter Fluss mit flutender Vegetation,,,,3260,FFn
FFn,Sonstiger naturnaher Fluss,1,,1.a,,FFn
FFt,"Fluss mit Regelprofil, ohne technische Uferverbauung",,,,,FFx
FFx,Sonstiger naturferner Fluss,,,,,FFx
FB,Bäche einschließlich Altarme,,,,,
FBa,Bach-Altarm,1,,1.b bzw. 7,(3150),FBa
FBf,"Bach, naturnah mit flutender Vegetation",1,,1.a,3260,FBn
FBg,Ausgebauter Bach mit flutender Vegetation,,,,3260,FBx
FBn,Sonstiger naturnaher Bach,1,,1.a,,FBn
FBt,"Bach mit Regelprofil, ohne technische Uferverbauung",,,,,FBx
FBx,Sonstiger naturferner Bach,,,,,FBx
FL,Naturnahe lineare Gewässer,,,,,
FLk,"Kanal, naturnah",1,,1.b,3150,FG
FLg,"Grüppe, naturnah",,,,,FG
FLa,Naturnahes lineares Gewässer mit Stillgewässercharakter,1,,1.b,3150,FG
FLf,Naturnahes lineares Gewässer mit flutender Vegetation,,,,3260,FG
FLw,Naturnahes lineares Gewässer mit Gehölzen,,,,,FG
FLr,Naturnahes lineares Gewässer mit Röhrichten,2,,2.c,,FG
FLs,Naturnahes lineares Gewässer mit Sumpfvegetation,2,,2.b,,FG
FLn,Naturnahes lineares Gewässer mit Großseggen,2,,2.g,,FG
FLy,Sonstiges naturnahes lineares Gewässer,,,,,FG
FG,Gräben,,,,,
FGg,Grüppe,,,,,FG
FGt,Graben ohne regelmäßige Wasserführung,,,,,FG
FGx,Verbauter Graben,,,,,FG
FGy,Sonstiger Graben,,,,,FG
FU,Umgestaltete Fließgewässer und Umflutgerinne,,,,,
FUb,Bach-Renaturierungsstrecke,1,,1.a, (3260),FBn
FUg,Umflutgerinne,1,,1.a, (3260),FBn
FUf,Fluss-Renaturierungsstrecke,1,,1.a, (3260),FFn
FUx,"Fließgewässer-Renaturierungsstrecke, naturfern",,,, (3260),"FFx, FBx"
FK,Kleingewässer,,,,,
FKd,Dystrophes Kleingewässer,1,,7,3160,FK
FKo,Oligotrophes basenarmes Kleingewässer,1,,7,3110,FK
FKi,Oligo- bis mesotrophes Kleingewässer mit Strandlings- oder Zwergbinsengesellschaften,1,,7,3130,FK
FKm,"Oligo- bis mesotrophes Kleingewässer, kalkhaltig",1,,7,3140,FK
FKe,Eutrophes Kleingewässer,1,,7,3150,FK
FKx,Hypertrophes Kleingewässer,1,,7,,FK
FKy,Sonstiges Kleingewässer,1,,7,,FK
FS,Größere Stillgewässer,,,,,
FSk,Kooggewässer,1,,1.b,,FW
FSd,Dystrophes Stillgewässer,1,,1.b,3160,FS
FSo,Oligotrophes basenarmes Stillgewässer,1,,1.b,3110,FS
FSi,Oligo- bis mesotrophes Stillgewässer mit Strandlings- oder Zwergbinsengesellschaften,1,,1.b,3130,FS
FSm,"Oligo- bis mesotrophes Stillgewässer, kalkhaltig",1,,1.b,3140,FS
FSe,Eutrophes Stillgewässer,1,,1.b,3150,FS
FSx,Hypertrophes Stillgewässer,1,,1.b,,FS
FSy,Sonstiges Stillgewässer,1,,1.b,,FS
FSs,Naturfernes aber nicht künstliches Stillgewässer,,,,31**,FS
FX,"Künstliches, durch Nutzung geprägtes Gewässer",,,,,
FXk,Kanal,,,,,FG
FXt,Fischteich,,,,(31**),FX
FXb,Abbaugewässer,,,,,FX
FXz,Zierteiche,,,,,FX
FXx,"Technisches Gewässer, verbaut",,,,,FX
FXu,"Technisches Gewässer, naturfern",,,,,FX
FXy,"Technisches Gewässer, naturnah",,,,,FX
M,Hoch- und Übergangsmoore,,,,,
MH,Moorheidestadien,,,,,
MHc,Moor-Besenheide,2,,2.a,7120,MH
MHe,"Moor-Glockenheide, trockene Ausbildung",2,,2.a,7120,MH
MHs,"Moor-Glockenheide, nasse Ausbildung",2,,2.a,7120,MH
MHy,Sonstige Moorheide,2,,2.a,7120,MH
MS,Naturnahe Moorstadien,,,,,
MSg,Moorgewässer,2,,2.a,3160,MH
MSr,Schlenkengesellschaft,2,,2.a,7150,MH
MSt,Schwingdecken,2,,2.a,"7120, 7140",MH
MSz,Bultgesellschaften,2,,2.a,"7120, 7140",MH
MSs,Bult-Schlenken-Komplex,2,,2.a,"7120, 7140",MH
MSy,Sonstiges naturnahes Moorstadium,2,,2.a,"7120, 7140",MH
MW,"Moorwälder, torfmoosreiche baumbestandene Moorstadien",,,,,
MWb,Atlantischer Birkenmoorwald,2,,2.a,*91D0,MH
MWk,Subkontinentaler Kiefernmoorwald,2,,2.a,*91D0,WBk
MWs,Torfmoosreicher sekundärer Moorwald,2,,2.a,*91D0,MH
MA,Abtorfungsbereiche,,,,,
MAt,Episodisch austrocknende vegetationsfreie Abtorfungsfläche,,,,,MHx
MAf,Ganzjährig feuchte vegetationsfreie Abtorfungsfläche,,,,,MHx
MD,Degenerierte Moorflächen,,,,,
MDb,Trockener sekundärer Moorwald,2,,2.a,(7120),MH
MDm,Degenerierte Moorflächen mit Pfeifengras,2,,2.a,"(7120, 7140)",MH
MDg,Degenerierte Moorflächen mit Gagelgebüsch,2,,2.a,"(7120, 7140)",WBg
MDw,Weidengebüsch auf degenerierten Moorstandorten,2,,2.a,"(7120, 7140)",MH
MDe,Degenerierte Moorflächen mit Wollgras,2,,2.a,"(7120, 7140)",MH
MDy,Degenerierte Moorflächen anderer Ausprägung,2,,2.a,"(7120, 7140)",MH
MR,Moor-Regenerationskomplexe,,,,,
MRe,"Moorregenerationsbereich mit Wollgräsern, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRg,"Moorregenerationsbereich mit Gagelgebüsch, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRb,"Moorregenerationsbereich mit Moor-Birken, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRm,"Moorregenerationsbereich mit Pfeifengras, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRs,"Moorregenerationsbereich mit Moorvegetation, torfmoosreich",2,,2.a,"7120, 7140",MH
MRt,Torfstich ohne deutliche Vegetation,2,,2.a,"(7120, 7140)",MHx
MRj,"Moorregenerationsbereich, nass, vegetationsarm",2,,2.a,"7120, 7140",MH
MRw,"Weidengebüsch auf Moorstandort, nass, torfmoosreich",2,,2.a,"(7120, 7140)",MH
MRy,Sonstige Moorregenerationsbereiche,2,,2.a,"(7120, 7140)",MH
N,Sümpfe und Niedermoore sowie Salzstellen des Binnenlandes,,,,,
NH,Salzvegetation des Binnenlandes,,,,,
NHs,Naturnaher binnenländischer Salzsumpf,2,,2.f,*1340,NS
NHy,Sonstige binnenländische Salzvegetation,2,,2.f,*1340,NS
NS,Großseggen- und Simsenriede sowie sonstige Staudensümpfe,,,,,
NSa,Nährstoffarmer Sumpf,2,,2.b,7140,NS
NSb,"Basenreicher, nährstoffarmer Sumpf",2,,2.b,7230,NS
NSs,Großseggenried,2,,2.g,,NSs
NSj,Binsen- und Simsenried,2,,2.b,,NSb
NSf,Flatterbinsen-Sumpf,,,,,NSb
NSc,Sumpfreitgras-Sumpf,2,,2.b,"(7120, 7140)",NS
NSq,Quellsumpf mit typischen Quellzeigern,2,,2.b,(6430),NS
NSr,Staudensumpf,2,,2.b,,NSh
NSy,Sonstiger Sumpf,2,,2.b,,NS
NR,(Land-)Röhrichte,,,,,
NRa,Nährstoffarmes Röhricht,2,,2.c,7140,NR
NRc,Binsen-Schneide-Röhricht,2,,2.c,*7210,NR
NRs,"Schilf-, Rohrkolben-, Teichsimsen-Röhricht",2,,2.c,,NR
NRr,Rohrglanzgras-Röhricht,2,,2.c,,NR
NRg,Wasser-Schwaden-Röhricht,2,,2.c,,NR
NRb,Strandsimsen-Röhricht,2,,2.c,,NR
NRy,Sonstiges Röhricht,2,,2.c,,NR
T,"Trocken- und Heidevegetation, Borstgrasrasen und Steinstrukturen",,,,,
TB,Trocken- und Zwergstrauchvegetation auf Binnendünen,,,,,
TBa,Binnendüne mit Silbergras/Straußgras,3,,3.d,2330,XXd
TBc,Binnendüne mit Besenheide und Ginster,3,,3.b,2310,XXd
TBe,Binnendüne mit Besenheide/Krähenbeere,3,,3.b,2320,XXd
TBd,Binnendüne mit Degenerationsstadien von Trocken- oder Zwergstrauchvegetation,3,,3.b/3.d ,"(2310, 2320, 2330)",XXd
TBf,Feuchtvegetation der Binnendünentäler,3,,3.b,4010,
TF,Feuchtheiden,,,,,THf
TFd,Vergraste Feuchtheide,3,,3.b,4010,THf
TFg,Verbuschte Feuchtheide,3,,,4010,THf
TFn,Feuchtheide mit Nadelwald,3,,3.b,4010,THf
TFt,Typische Feuchtheide,3,,3.b,4010,THf
TH,Trockene Sandheiden,,,,,
THd,Vergraste Sandheide,3,,3.b,(4030),TH
THg,Verbuschte Sandheide,,,,4030,TH
THb,Stark verbuschte Sandheide,,,,(4030),TH
THs,Sandheide mit Später Traubenkirsche,3,,3.b,4030,TH
THt,Typische Sandheide,3,,3.b,4030,TH
THx,Sandheide mit gebietsfremden Gehölzen,3,,3.b,4030,TH
THw,Wacholderheiden,3,,3.b,5130,TH
TR,Trocken- und Magerrasen,,,,,
TRb,Blauschillergras-Rasen,3,,3.d,*6120,TR
TRm,Naturnaher Kalktrockenrasen,3,,3.d,6210,TR
TRn,Borstgrasrasen trockener Standorte,3,,3.c,*6230,TR
TRj,Borstgrasrasen feuchter Standorte,3,,3.c,*6230,TR
TRo,Orchideenreiche Kalktrockenrasen,3,,3.d,*6210,TR
TRs,Lückiger Sandmagerrasen,3,,3.d,,TR
TRh,Trockenrasen mit Staudenflur,3,,3.d,,TR
TRy,Sonstiger Sandmagerrasen,3,,3.d,,TR
TS,Steinstrukturen,,,,,
TSe,Steinwall oder Steinmauer mit epilithischer Vegetation,7,3.j,,,
TSo,Steinwall oder Steinmauer ohne epilithischer Vegetation,7,3.j,,,
TSr,Steinriegel,7,3.i,,,
TSs,Steinblock (terrestrisch),,,,,
TSy,"Sonstige Steinwälle, -mauern und -haufen",,,,,
G,Grünland,,,,,
GN,Seggen- und binsenreiches Nassgrünland,,,,,
GNp,Artenreiche Pfeifengraswiese,2,,2.d,6410,GN
GNa,Nährstoff- und basenarmes Nassgrünland,2,,2.d,7140,GN
GNb,"Nährstoffarmes, basenreiches Nassgrünland",2,,2.d,7230,GN
GNm,Mäßig nährstoffreiches Nassgrünland,2,,2.d,"(7120, 7140)",GN
GNr,Nährstoffreiches Nassgrünland,2,,2.d,,GN
GNh,Hochstaudenreiches Nassgrünland,2,,2.d,(6430),GN
GF,Artenreiches Feuchtgrünland,,,,,
GFb,Brenndolden-Wiese,2 bzw. 7,(6),2.d bzw. 11.a,6440,GF
GFc,Sumpfdotterblumen-Wiese,7 ,6,11.a,,GF
GFf,Artenreicher Flutrasen,7 ,6,11.a,,GFf
GFh,Hochstaudenreiches Feuchtgrünland an Waldrand oder Fließgewässer,7,6,11.a,6430,
GFr,Sonstiges artenreiches Feuchtgrünland,7 ,6,11.a,,GF
GM,Mesophiles Flachlandmähwiese ,,,,,
GMf,Mesophiles Flachlandmähwiese feuchter Standorte,7 ,6,11.b,6510,GMm
GMm,Mesophiles Flachlandmähwiese frischer Standorte,7 ,6,11.b,6510,GMm
